condition,alpha,T,p_viable_T,control,sample_n,early_to_late_neighbor_preservation,future_profile_separation,ordered_persistence,viability_gate,component_non_erasure,counterfactual_affordance,minimal_recoverability,horizon_coherence,ridge_R2_past_to_future,ridge_R2_time_shuffled,temporal_prediction_delta,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,post_displacement_viability,return_to_viable_corridor_rate,recoverable_continuation_profile,gpu_used
coupled,0.45,900,0.998884814814815,none,252000,0.5129348337650299,1.0677721500396729,0.7930921457785493,0.998884814814815,0.5650209263713795,0.5906183269145684,0.6758292245989045,0.7382292606854997,0.7982295751571655,-0.0003398783737793,0.7985694535309449,0.8511962294578552,0.4511818587779999,0.5999856293201447,0.4699437765773856,0.0274876737967133,1.0,0.7443673069469918,1.0,1.0,0.0274876737967133,1.0
coupled,0.45,900,0.998884814814815,rigid_collapse,252000,0.5064951479434967,1.0818852186203003,0.7807788081166412,0.998884814814815,0.3523888193042549,0.1951579949722688,0.401658533342089,0.7277437685836862,0.7538503408432007,-0.0001057169429259,0.7539560577861266,0.8137625455856323,0.2326481938362121,0.4188856482505798,0.71410800964207,0.0191061990335583,0.2050816326530612,0.3612861532301869,0.2050816326530612,0.9811479591836731,0.0187460081895328,1.0
coupled,0.45,900,0.998884814814815,noise_fakeout,252000,-0.0046461820602416,0.0081293946132063,0.0011727995006367,0.998884814814815,0.4998816771112615,0.6406483757346174,0.6681515927581737,0.757342309463994,-0.0006774595822207,-0.0007126455311663,3.518594894558191e-05,-0.0005977023392915,-0.0003610565618146,0.999763354222523,1.0,0.0044547782745212,1.0,0.9174903489293312,1.0,1.0,0.0044547782745212,1.0
coupled,0.45,900,0.998884814814815,single_component_erasure,252000,0.5855753421783447,1.1954108476638794,0.877294934053983,0.998884814814815,0.3273855359940577,0.5560241865632491,0.6817669297258059,0.748280191424529,0.8508397936820984,-5.881863762624562e-05,0.8508986123197246,0.8511962294578552,0.2326481938362121,0.3814519643783569,0.7266808923902416,0.0453007891774177,1.0,0.6227717705123296,1.0,1.0,0.0453007891774177,1.0
coupled,0.45,900,0.998884814814815,endpoint_fakeout,252000,0.4783775806427002,1.0633597373962402,0.7692698463409519,0.998884814814815,0.4079515127474192,0.570846191961908,0.6746669312318166,0.8174514086614557,0.7656180262565613,-0.0004541947273537,0.766072220983915,0.8223093152046204,0.2879905998706817,0.4656812846660614,0.6497782591712229,0.0240007936954498,1.0,0.688537782190274,1.0,1.0,0.0240007936954498,1.0
coupled,0.45,900,0.998884814814815,delayed_trap,252000,0.6683346033096313,1.16896390914917,0.9155194816509415,0.998884814814815,0.7308398461719117,0.6203007133494456,0.6698312110578021,0.8364824218026429,0.9089354276657104,-0.0003245048283133,0.9092599324940238,0.94256854057312,0.6813660264015198,0.7387974858283997,0.2771177934845762,0.0094936331734061,1.0,0.8514085068749306,1.0,1.0,0.0094936331734061,1.0
coupled,0.45,900,0.998884814814815,component_swap_fakeout,252000,0.2257530093193054,0.7290499210357666,0.4605458042545554,0.998884814814815,0.0740917080838698,0.3730834005982393,0.6745800956462821,0.7752523902549987,0.426268994808197,-0.0005654876003973,0.4268344824085943,0.8511962294578552,-0.0006203543744049,0.1481834161677397,1.0,0.0237402869388461,1.0,0.095509914855872,1.0,1.0,0.0237402869388461,1.0
coupled,0.45,1500,0.9988651851851852,none,252000,0.3564842939376831,0.8919106721878052,0.6303364441458447,0.9988651851851852,0.5287086848039939,0.541194300712747,0.6749509756142894,0.7382292606854997,0.6417570114135742,-0.0008573548984713,0.6426143663120456,0.6981476545333862,0.310630202293396,0.6124825477600098,0.5550651781520218,0.0248529268428683,1.0,0.5987299752953724,1.0,1.0,0.0248529268428683,1.0
coupled,0.45,1500,0.9988651851851852,rigid_collapse,252000,0.3593698143959045,0.8879087567329407,0.6115956422921348,0.9988651851851852,0.3762281237759043,0.1621339133142581,0.3735031814608203,0.7277437685836862,0.5873230695724487,-0.0001852861751103,0.5875083557475591,0.6450875401496887,0.1558886915445327,0.510801151394844,0.7583449038430354,0.0171447303146123,0.1489183673469387,0.3203386422812233,0.1489183673469387,0.9552142857142856,0.0163768913212365,1.0
coupled,0.45,1500,0.9988651851851852,noise_fakeout,252000,0.0081380009651184,0.0175834447145462,0.0085738152265548,0.9988651851851852,0.4997384287185014,0.6533735529520618,0.6678868338931352,0.757342309463994,-0.0009368828614242,-0.0002935974916908,-0.0006432853697333,-1.4627655218646396e-05,-0.0005377702182158,0.9994768574370028,1.0,0.0036605016794055,1.0,0.9564601571767796,1.0,1.0,0.0036605016794055,1.0
