threshold_family,stack,invariants,coupled_retention,known_false_positive_rejection_rate,holdout_rejection_rate,balanced_score
original,S1,I1_viability,0.26666666666666666,0.4444444444444444,0.4444444444444444,0.052674897119341556
original,S2,I1_viability+I2_ordered_distinction_persistence,0.044444444444444446,0.7777777777777778,0.7777777777777778,0.026886145404663928
original,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.044444444444444446,1.0,0.7777777777777778,0.034567901234567905
original,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,0.9444444444444444,0.0
original,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
original,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
control_q95,S1,I1_viability,0.08888888888888889,0.8888888888888888,0.8888888888888888,0.07023319615912207
control_q95,S2,I1_viability+I2_ordered_distinction_persistence,0.0,1.0,1.0,0.0
control_q95,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.0,1.0,1.0,0.0
control_q95,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,1.0,0.0
control_q95,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
control_q95,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
control_q90,S1,I1_viability,0.08888888888888889,0.8888888888888888,0.8888888888888888,0.07023319615912207
control_q90,S2,I1_viability+I2_ordered_distinction_persistence,0.0,1.0,1.0,0.0
control_q90,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.0,1.0,1.0,0.0
control_q90,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,1.0,0.0
control_q90,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
control_q90,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
control_q75,S1,I1_viability,0.17777777777777778,0.6666666666666667,0.6666666666666667,0.07901234567901237
control_q75,S2,I1_viability+I2_ordered_distinction_persistence,0.022222222222222223,0.9166666666666666,0.8888888888888888,0.01810699588477366
control_q75,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.022222222222222223,1.0,0.8888888888888888,0.019753086419753086
control_q75,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,0.9444444444444444,0.0
control_q75,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
control_q75,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
coupled_q25,S1,I1_viability,0.7555555555555555,0.0,0.0,0.0
coupled_q25,S2,I1_viability+I2_ordered_distinction_persistence,0.6,0.25,0.16666666666666663,0.024999999999999994
coupled_q25,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.4222222222222222,0.5555555555555556,0.5,0.11728395061728396
