metric,p_viable_T,viability_gate,ordered_persistence,component_non_erasure,counterfactual_affordance,minimal_recoverability,horizon_coherence
p_viable_T,1.0,1.0,-0.0779586011658279,0.07973887716433416,-0.15382510594182058,-0.08522331955466567,0.4470289844907472
viability_gate,1.0,1.0,-0.0779586011658279,0.07973887716433416,-0.15382510594182058,-0.08522331955466567,0.4470289844907472
ordered_persistence,-0.0779586011658279,-0.0779586011658279,1.0,0.1989059177400164,-0.020334165538924562,-0.06725172625628643,0.06969143451697901
component_non_erasure,0.07973887716433416,0.07973887716433416,0.1989059177400164,1.0,0.3856922487398824,0.04692720763644698,0.2014974079595078
counterfactual_affordance,-0.15382510594182058,-0.15382510594182058,-0.020334165538924562,0.3856922487398824,1.0,0.8087192478888141,-0.11909675908592596
minimal_recoverability,-0.08522331955466567,-0.08522331955466567,-0.06725172625628643,0.04692720763644698,0.8087192478888141,1.0,0.0514263059847993
horizon_coherence,0.4470289844907472,0.4470289844907472,0.06969143451697901,0.2014974079595078,-0.11909675908592596,0.0514263059847993,1.0
