invariant,metric,control,mean,median,q10,q25,q75,q90,overlap_with_coupled,effect_size_vs_coupled
I1_viability,viability_gate,component_swap_fakeout,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I1_viability,viability_gate,delayed_trap,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I1_viability,viability_gate,endpoint_fakeout,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I1_viability,viability_gate,noise_fakeout,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I1_viability,viability_gate,none,0.9988749629629632,0.998871111111111,0.9988463703703704,0.9988555555555556,0.998892962962963,0.9989108888888889,1.0,0.0
I1_viability,viability_gate,rigid_collapse,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I1_viability,viability_gate,single_component_erasure,0.9988915637860083,0.9988955555555556,0.9988634074074074,0.998884814814815,0.9989051851851852,0.9989107407407407,0.5555555555543618,-0.7087716800155665
I2_ordered_distinction_persistence,ordered_persistence,component_swap_fakeout,0.37457606834208557,0.3877549600923278,0.27411702049430453,0.279129730440521,0.457445827856039,0.4615955565396385,0.3492035086258603,1.27655657996048
I2_ordered_distinction_persistence,ordered_persistence,delayed_trap,0.7931912873194691,0.8139011175856771,0.6442477445001714,0.6558230810139017,0.9155194816509415,0.921155288865945,0.27494054919116634,-1.496473667162749
I2_ordered_distinction_persistence,ordered_persistence,endpoint_fakeout,0.6419139267010097,0.6372598009960105,0.515705072763376,0.519282573989282,0.7649137496288555,0.7708219467313029,0.4730101000402817,-0.544457352246019
I2_ordered_distinction_persistence,ordered_persistence,noise_fakeout,0.006014596407314599,0.0058337353160216,0.0023063830798491,0.0044128108226383,0.0082072616787627,0.00886085798653456,0.0,4.181612209064531
I2_ordered_distinction_persistence,ordered_persistence,none,0.558442979226593,0.6064471605083478,0.35168754074644915,0.3611993834007687,0.7930921457785493,0.807754931327266,1.0,0.0
I2_ordered_distinction_persistence,ordered_persistence,rigid_collapse,0.6037098416755152,0.6155205151905344,0.41144855355184207,0.4195023726012247,0.7807747783954255,0.7814351971338814,0.6706578286372916,-0.26059213861054825
I2_ordered_distinction_persistence,ordered_persistence,single_component_erasure,0.6895775498759812,0.7056312248071966,0.4875252675604619,0.4909181876282673,0.869323164166417,0.8777933371777181,0.5461895173384683,-0.7376989777914503
I3_component_non_erasure,component_non_erasure,component_swap_fakeout,0.16217808623059676,0.1519790873717283,0.07399398496054338,0.0757306641025934,0.2547526418275083,0.2617329749162309,0.0,3.6971969895430834
I3_component_non_erasure,component_non_erasure,delayed_trap,0.6596621019428514,0.6662596479183551,0.5709206265221636,0.5871264156177837,0.7308398461719117,0.7522805311514243,0.1697171810393872,-2.77456412060613
I3_component_non_erasure,component_non_erasure,endpoint_fakeout,0.4212087432554443,0.4109761998006749,0.3970235445259975,0.4028384384017948,0.4426387074133803,0.4556159708160751,0.3026776104803615,0.48723662577675303
I3_component_non_erasure,component_non_erasure,noise_fakeout,0.49982258155619597,0.4998670774075435,0.4996554729354102,0.4997384287185014,0.4999044465948827,0.49992019822384465,0.001088023230131189,-0.9864198787592794
